Judet,Dominant Industry
ab,Lemnului
ag,ConstructiiMasini
ar,ConstructiiMasini
b,Energetica
bc,Alimentara
bh,Textila
bn,ConstructiiMasini
br,ConstructiiMasini
bt,Textila
bv,ConstructiiMasini
bz,Alimentara
cj,Alimentara
cl,Alimentara
cs,ConstructiiMasini
ct,ConstructiiMasini
cv,Alimentara
db,Metalurgica
dj,ConstructiiMasini
gj,Energetica
gl,Metalurgica
gr,Alimentara
hd,Energetica
hr,Alimentara
if,Alimentara
il,Alimentara
is,ConstructiiMasini
mh,ChimicaFarmaceutica
mm,Mobila
ms,Energetica
nt,Textila
ot,Metalurgica
ph,ConstructiiMasini
sb,ConstructiiMasini
sj,Metalurgica
sm,Alimentara
sv,Lemnului
tl,ConstructiiMasini
tm,ConstructiiMasini
tr,ChimicaFarmaceutica
vl,Alimentara
vn,Textila
vs,Alimentara
