,Country,Code,ClustID
0,Afghanistan,AFG,1
1,Albania,ALB,3
2,Algeria,DZA,1
3,Andorra,AND,5
4,Angola,AGO,3
5,Antigua and Barbuda,ATG,2
6,Argentina,ARG,3
7,Armenia,ARM,2
8,Australia,AUS,5
9,Austria,AUT,5
10,Azerbaijan,AZE,2
11,Bahamas,BHS,2
12,Bahrain,BHR,1
13,Bangladesh,BGD,1
14,Barbados,BRB,3
15,Belarus,BLR,4
16,Belgium,BEL,5
17,Belize,BLZ,3
18,Benin,BEN,2
19,Bhutan,BTN,1
20,Bolivia,BOL,2
21,Bosnia and Herzegovina,BIH,3
22,Botswana,BWA,3
23,Brazil,BRA,3
24,Brunei,BRN,1
25,Bulgaria,BGR,5
26,Burkina Faso,BFA,5
27,Burundi,BDI,3
28,Cambodia,KHM,2
29,Cameroon,CMR,3
30,Canada,CAN,3
31,Cape Verde,CPV,3
32,Central African Republic,CAF,2
33,Chad,TCD,2
34,Chile,CHL,3
35,China,CHN,3
36,Colombia,COL,2
37,Comoros,COM,1
38,Congo,COG,3
39,Costa Rica,CRI,2
40,Cote d'Ivoire,CIV,2
41,Croatia,HRV,5
42,Cuba,CUB,2
43,Cyprus,CYP,5
44,Czechia,CZE,4
45,Democratic Republic of Congo,COD,1
46,Denmark,DNK,5
47,Djibouti,DJI,1
48,Dominica,DMA,5
49,Dominican Republic,DOM,2
50,Ecuador,ECU,2
51,Egypt,EGY,1
52,El Salvador,SLV,2
53,Equatorial Guinea,GNQ,3
54,Eritrea,ERI,1
55,Estonia,EST,5
56,Eswatini,SWZ,3
57,Ethiopia,ETH,1
58,Fiji,FJI,2
59,Finland,FIN,5
60,France,FRA,4
61,Gabon,GAB,5
62,Gambia,GMB,2
63,Georgia,GEO,3
64,Germany,DEU,4
65,Ghana,GHA,2
66,Greece,GRC,5
67,Grenada,GRD,5
68,Guatemala,GTM,2
69,Guinea,GIN,1
70,Guinea-Bissau,GNB,2
71,Guyana,GUY,3
72,Haiti,HTI,2
73,Honduras,HND,2
74,Hungary,HUN,4
75,Iceland,ISL,3
76,India,IND,2
77,Indonesia,IDN,1
78,Iran,IRN,1
79,Iraq,IRQ,1
80,Ireland,IRL,4
81,Israel,ISR,2
82,Italy,ITA,3
83,Jamaica,JAM,2
84,Japan,JPN,3
85,Jordan,JOR,1
86,Kazakhstan,KAZ,2
87,Kenya,KEN,2
88,Kiribati,KIR,1
89,Kuwait,KWT,1
90,Kyrgyzstan,KGZ,3
91,Laos,LAO,3
92,Latvia,LVA,5
93,Lebanon,LBN,1
94,Lesotho,LSO,2
95,Liberia,LBR,2
96,Libya,LBY,1
97,Lithuania,LTU,4
98,Luxembourg,LUX,4
99,Madagascar,MDG,1
100,Malawi,MWI,2
101,Malaysia,MYS,1
102,Maldives,MDV,1
103,Mali,MLI,1
104,Malta,MLT,3
105,Mauritania,MRT,1
106,Mauritius,MUS,2
107,Mexico,MEX,2
108,Micronesia (country),FSM,2
109,Moldova,MDA,4
110,Mongolia,MNG,3
111,Montenegro,MNE,3
112,Morocco,MAR,1
113,Mozambique,MOZ,1
114,Myanmar,MMR,2
115,Namibia,NAM,2
116,Nauru,NRU,2
117,Nepal,NPL,1
118,Netherlands,NLD,5
119,New Zealand,NZL,5
120,Nicaragua,NIC,2
121,Niger,NER,1
122,Nigeria,NGA,5
123,North Korea,PRK,2
124,North Macedonia,MKD,2
125,Norway,NOR,3
126,Oman,OMN,1
127,Pakistan,PAK,1
128,Panama,PAN,3
129,Papua New Guinea,PNG,1
130,Paraguay,PRY,3
131,Peru,PER,3
132,Philippines,PHL,3
133,Poland,POL,5
134,Portugal,PRT,4
135,Qatar,QAT,1
136,Romania,ROU,4
137,Russia,RUS,4
138,Rwanda,RWA,5
139,Saint Kitts and Nevis,KNA,5
140,Saint Lucia,LCA,5
141,Saint Vincent and the Grenadines,VCT,3
142,Samoa,WSM,2
143,Sao Tome and Principe,STP,3
144,Saudi Arabia,SAU,1
145,Senegal,SEN,1
146,Serbia,SRB,3
147,Seychelles,SYC,5
148,Sierra Leone,SLE,2
149,Singapore,SGP,1
150,Slovakia,SVK,5
151,Slovenia,SVN,5
152,Solomon Islands,SLB,1
153,Somalia,SOM,1
154,South Africa,ZAF,5
155,South Korea,KOR,5
156,Spain,ESP,5
157,Sri Lanka,LKA,2
158,Sudan,SDN,2
159,Suriname,SUR,2
160,Sweden,SWE,3
161,Switzerland,CHE,5
162,Syria,SYR,1
163,Tajikistan,TJK,2
164,Tanzania,TZA,5
165,Thailand,THA,3
166,Timor,TLS,1
167,Togo,TGO,1
168,Tonga,TON,1
169,Trinidad and Tobago,TTO,3
170,Tunisia,TUN,1
171,Turkey,TUR,1
172,Turkmenistan,TKM,2
173,Tuvalu,TUV,1
174,Uganda,UGA,4
175,Ukraine,UKR,5
176,United Arab Emirates,ARE,2
177,United Kingdom,GBR,4
178,United States,USA,5
179,Uruguay,URY,3
180,Uzbekistan,UZB,2
181,Vanuatu,VUT,1
182,Venezuela,VEN,3
183,Vietnam,VNM,3
184,Yemen,YEM,1
185,Zambia,ZMB,3
186,Zimbabwe,ZWE,2
